license_year,license_number,animals_name,species,primary_breed,secondary_breed,weight_kg
2018,LNS146053,Dude,Dog,"Terrier, American Staffordshire",Mix,27.95
2018,LNS119504,Juno,Dog,Hound,Beagle,23.5
2017,LN211206,Gracie,Dog,"Poodle, Miniature",Mix,19.07
2018,LN29770,Logan,Dog,"Spaniel, English Springer",Unknown,22.51
2018,LNS139892,Baxter,Dog,"Schnauzer, Miniature",Unknown,15.46
2017,LN821150,Macho,Dog,"Dachshund, Standard Smooth Haired","Chihuahua, Short Coat",14.26
2017,LNS129433,Ferdinand,Dog,"Dachshund, Standard Smooth Haired",Unknown,16.48
2017,LN580657,Jensina,Dog,"Chihuahua, Short Coat",Unknown,11.96
2018,LNS144151,Joey,Dog,"Dachshund, Standard Smooth Haired","Chihuahua, Short Coat",20.87
2018,LN8002945,Ginger,Dog,Pomeranian,Unknown,18.41
2018,LNS139193,Benny,Dog,"Chihuahua, Short Coat","Terrier, Pit Bull",10.1
2017,LNS139176,Jack,Dog,"Terrier, Staffordshire Bull","Terrier, Jack Russell",20.92
2016,LNS125955,Josie,Dog,"Terrier, Fox, Smooth","Terrier, Boston",14.64
2018,LN723787,Spud,Dog,"Retriever, Labrador",Mix,28.01
2018,LN730950,Lilly,Dog,"Retriever, Labrador",Mix,23.51
2018,LN8002975,Jackson,Dog,Boxer,Mix,12.36
2018,LN8003923,Eva,Dog,"Retriever, Golden",Unknown,20.13
2018,LN730678,Saru,Dog,"Schnauzer, Standard",Unknown,27.49
2018,LN8003170,Mia,Dog,Lhasa Apso,Mix,24.95
2018,LNS144012,Keibi,Dog,Shih Tzu,Unknown,21.56
2017,LN442650,Madison,Dog,Australian Cattle Dog,"Pointer, German Shorthaired",17.72
2017,LN30073,Maya,Dog,"Welsh Corgi, Pembroke",Unknown,31.15
2017,LN358386,Maia,Dog,Border Collie,Australian Shepherd,16.85
2018,LNS118011,Yoda,Dog,Australian Cattle Dog,Mix,23.78
2018,LN731728,Jackson,Dog,Pug,Unknown,27.86
2018,LNS150179,Hammy,Dog,Border Collie,Mix,8.18
2017,LN583649,Fry,Dog,Whippet,"Terrier, Jack Russell",32.1
2018,LNS144694,Angel,Dog,Australian Shepherd,Unknown,21.08
2018,LN138666,Heidi,Dog,"Schnauzer, Miniature",Shih Tzu,17.89
2018,LN433036,Klaus,Cat,Domestic Shorthair,Unknown,5.09
2017,LNS104062,Lucy,Cat,Domestic Shorthair,Mix,4.56
2018,LN142286,Barney,Cat,LaPerm,Unknown,4.13
2018,LN732825,Woody,Cat,Domestic Medium Hair,Unknown,3.99
2018,LN8003137,Valentine,Cat,Domestic Shorthair,Unknown,4.41
2017,LN204884,Nod,Cat,Domestic Shorthair,Unknown,4.51
2018,LN208443,Mitzi,Cat,Domestic Longhair,Unknown,4.77
2018,LNS101014,Smokey,Cat,Domestic Shorthair,Mix,5.48
2018,LN71467,Missy,Cat,Domestic Shorthair,Unknown,4.52
2017,LNS108054,Opal,Cat,Domestic Medium Hair,Unknown,4.93
2017,LNS107151,Scarlett,Cat,Domestic Shorthair,Unknown,4.25
2018,LN8003950,Herdy,Cat,Domestic Shorthair,Mix,4.6
2018,LNS142194,Sam,Cat,Domestic Shorthair,Mix,4.53
2018,LNS146648,Sabrino,Cat,Domestic Shorthair,Mix,4.41
2018,LNS140912,Shark,Cat,Domestic Shorthair,Mix,4.02
2018,LNS144346,Henry,Cat,Domestic Medium Hair,Unknown,4.65
2018,LNS139759,Smokey,Cat,Domestic Shorthair,Mix,5.07
2018,LNS100828,Bitsy,Cat,Domestic Shorthair,Mix,4.76
2018,LN138601,Buddy,Dog,"Retriever, Golden",Unknown,22.11
2018,LNS140638,Goose,Dog,German Shepherd,"Retriever, Labrador",10.06
2018,LNS134098,Finley,Dog,"Retriever, Golden",Unknown,16.26
2018,LNS145197,Oslo,Dog,Siberian Husky,"Retriever, Labrador",13.06
2017,LN584502,Bambu,Dog,"Dachshund, Standard Smooth Haired",Mix,23.34
2018,LN831877,Bandit,Dog,Australian Shepherd,Unknown,28.77
2018,LNS142182,Tucker,Dog,Australian Cattle Dog,Unknown,29.3
2017,LNS138711,Jam,Dog,Australian Cattle Dog,Unknown,11.44
2017,LN214814,Hank,Dog,"Terrier, Boston",Unknown,8.93
2017,LN216783,Zeus,Dog,Great Pyrenees,"Retriever, Golden",22.1
2018,LNS139254,Isabel,Dog,Shetland Sheepdog,German Shepherd,21.07
2017,LNS126063,Tukey,Dog,Mix,Terrier,20.99
2018,LNS113166,Snuzzy,Dog,Bichon Frise,Shih Tzu,23.35
2018,LN82485,Tilly,Dog,"Bulldog, American","Terrier, American Pit Bull",21.16
2018,LNS141320,Theo Renshaw,Dog,"Poodle, Standard",Unknown,12.29
2018,LN901063,Lucy,Dog,"Terrier, Airedale","Retriever, Labrador",26.06
2018,LN8001879,Leonardo Jino Kirr,Dog,Miniature Pinscher,Unknown,25.41
2017,LNS106240,Rush,Dog,Mastiff,"Terrier, American Staffordshire",21.55
2017,LN958064,AJ,Dog,Terrier,Mix,17.4
2018,LN8003750,Arizona,Dog,"Spaniel, American Water","Poodle, Miniature",7.72
2017,LN444568,Wilson,Dog,"Bulldog, French",Unknown,16.93
2018,LNS117054,Hank,Dog,"Retriever, Labrador",Unknown,25.8
2018,LNS120866,Thor,Dog,Retriever,Shepherd,21.45
2018,LNS143524,Shrimp,Dog,Greyhound,Unknown,23.26
2018,LNS129425,Maximus,Dog,German Shepherd,Unknown,21.35
2017,LN141524,Luna,Dog,German Shepherd,Unknown,26.43
2017,LN209512,Lucy,Dog,Brittany,Unknown,26.53
2018,LNS139508,Jo,Dog,Mix,Unknown,13.5
2017,LNS135400,Sally,Dog,"Terrier, Jack Russell",Mix,17.16
2016,LNS139214,Ernie,Dog,"Poodle, Miniature",Bichon Frise,20.88
2018,LN8002753,Luna,Dog,"Chihuahua, Short Coat",Mix,14.24
2017,LN25621,Zelda,Dog,Terrier,Spaniel,25.94
2018,LNS130943,Cooper,Dog,"Australian Shepherd, Miniature",Unknown,21.93
2018,LNS114050,Pepper,Dog,"Retriever, Labrador","Terrier, American Pit Bull",26.52
2018,LNS118590,Griffey,Dog,Australian Shepherd,Unknown,8.01
2018,LNS123574,Toto,Dog,"Schnauzer, Standard",Mix,21.38
2017,LNS132216,Sesame,Dog,"Retriever, Labrador","Poodle, Standard",20.17
2018,LN212175,Baylee,Dog,Beagle,Unknown,12.89
2018,LNS111013,Pickles,Dog,"Bulldog, English",Unknown,12.77
2018,LN8002254,Patrick,Dog,Havanese,Mix,24.28
2018,LN138361,Jazz,Dog,"Spaniel, English Springer",Unknown,17.04
2017,LN901598,Kenzel,Dog,"Spaniel, Cavalier King Charles",Unknown,18.42
2018,LNS120641,Penny,Dog,"Poodle, Standard","Retriever, Labrador",14.02
2018,LNS145251,Birdie,Dog,"Poodle, Standard",Old English Sheepdog,23.21
2018,LN24123,Simon,Dog,"Retriever, Labrador",Pug,15.82
2018,LNS120123,Snoopy,Dog,Whippet,Boxer,23.62
2018,LNS143079,Leo,Dog,Retriever,"Poodle, Standard",26.08
2018,LNS125116,Fionn,Dog,Retriever,Unknown,17.58
2018,LNS146814,Ziggy,Dog,Border Collie,"Dachshund, Miniature Long Haired",26.77
2018,LNS144783,Bessie,Dog,"Retriever, Labrador",Unknown,22.59
2018,LNS141986,Little Miss Dublin Maeve of the Emerald Isle,Dog,"Retriever, Labrador","Poodle, Standard",26.04
2018,LN719947,Abbey,Dog,Hound,Beagle,16.66
2018,LNS120426,Philip,Dog,Carolina Dog,Carolina Dog,17.46
2017,LNS104767,Annie,Dog,"Retriever, Labrador",Shepherd,17.97
2017,LN279960,Jet,Dog,"Retriever, Labrador",Mix,18.59
2018,LN444285,Gunnar,Dog,Hound,"Retriever, Labrador",18.72
2017,LNS122744,Daisy,Dog,"Spaniel, Cavalier King Charles","Poodle, Toy",27.01
2018,LNS135478,Kato,Dog,Shiba Inu,Unknown,9.13
2017,LNS130453,Penny,Dog,"Chihuahua, Short Coat",Terrier,25.65
2017,LN583366,Chance,Dog,"Terrier, Yorkshire","Poodle, Miniature",13.84
2017,LN731694,Olivia,Dog,Coonhound,Unknown,18.41
2018,LN8001152,Nyah,Dog,"Retriever, Labrador",Unknown,18.09
2018,LNS134133,Boomer,Dog,"Spaniel, English Springer",Unknown,32.69
2018,LN891265,Quattro,Cat,Domestic Medium Hair,Unknown,4.65
2018,LN579094,Toby,Cat,Domestic Shorthair,Unknown,4.59
2018,LNS143534,Apollo,Cat,Domestic Longhair,Unknown,4.77
2018,LNS120387,Maude,Cat,Domestic Shorthair,Mix,4.5
2017,LNS130725,Harvey,Cat,Domestic Longhair,Unknown,4.39
2017,LN732660,Girl Scout,Cat,Domestic Medium Hair,Unknown,4.22
2017,LNS127911,Kudo,Cat,Domestic Shorthair,Unknown,4.59
2018,LNS119030,Pepper Anne,Cat,Domestic Shorthair,Mix,4.7
2018,LN8001098,Coya,Cat,Domestic Shorthair,Unknown,3.89
2018,LN952469,Ella,Cat,Domestic Shorthair,Unknown,4.74
2018,LNS121881,Sushi,Cat,Siamese,Unknown,4.3
2018,LN129573,Sweet Pea,Cat,Domestic Shorthair,Unknown,4.04
2018,LNS145124,Puzzles,Cat,Maine Coon,Unknown,4.74
2017,LN350351,Lalla,Cat,Domestic Shorthair,Unknown,5.26
2018,LN19197,Rosie,Cat,Domestic Shorthair,Unknown,4.26
2018,LNS145951,Moonbeam,Cat,Domestic Shorthair,Unknown,4.13
2017,LN133432,Cody,Cat,Domestic Medium Hair,Unknown,4.64
2017,LN832705,Sweet Anna,Cat,Domestic Shorthair,Unknown,4.78
2018,LNS152189,Ara,Cat,Maine Coon,Mix,3.88
2018,LNS112866,Chip,Cat,Domestic Shorthair,Mix,4.47
2017,LN202885,Luca,Cat,Domestic Shorthair,Unknown,5.06
2018,LNS117480,Enzo,Dog,Miniature Pinscher,Mix,9.58
2018,LNS145312,Moose,Dog,Boxer,Unknown,21.83
2018,LN8001871,Zulu,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",Mix,15.48
2017,LN136322,Tre,Dog,Australian Cattle Dog,Unknown,17.6
2018,LN959919,Kilkenny,Dog,Shih Tzu,Unknown,15.75
2018,LNS117908,Addy,Dog,"Terrier, American Pit Bull",Unknown,24.02
2016,LN79023,Marley,Dog,Xoloitzcuintli,Unknown,23.4
2017,LN141578,Penny,Dog,"Retriever, Labrador",Unknown,21.79
2018,LNS149194,Oden,Dog,"Terrier, American Staffordshire",Mix,26.44
2018,LN443161,Stockholm,Dog,"Retriever, Labrador",Boxer,22.5
2018,LNS133847,Patronus,Dog,"Retriever, Labrador","Retriever, Golden",27.23
2018,LN27857,Harley,Dog,Bulldog,Unknown,17.02
2018,LNS139287,The Drake,Dog,"Poodle, Miniature",Unknown,19.46
2018,LNS139063,Kenya,Dog,Rottweiler,Unknown,23.63
2018,LNS127335,McKenna,Dog,"Terrier, Pit Bull",Unknown,11.29
2018,LNS131014,Quica,Dog,"Retriever, Labrador",Unknown,18.54
2018,LN279935,Molokai,Dog,Australian Shepherd,Unknown,28.97
2018,LNS140775,Poppy,Dog,"Retriever, Golden",Unknown,25.3
2018,LNS140471,Ipo,Dog,Rottweiler,Unknown,20.91
2018,LNS126940,Sam,Dog,Maltese,Unknown,16.35
2017,LN141879,Dozer,Dog,Boxer,Unknown,23.56
2018,LN444790,Otello,Dog,German Shepherd,Unknown,21.38
2017,LNS131461,Gracie,Dog,"Chihuahua, Short Coat",Mix,12.84
2018,LNS141035,Teddy (Theodore),Dog,"Terrier, Yorkshire","Poodle, Miniature",18.5
2018,LN572064,Biscuit,Dog,"Chihuahua, Short Coat",Unknown,12
2017,LN961158,Marcia,Dog,"Retriever, Labrador",Unknown,11.95
2018,LN28054,Amy,Dog,"Terrier, Silky",Unknown,23.43
2017,LNS127887,Pinkie,Dog,"Terrier, American Pit Bull",Unknown,17.22
2018,LN83418,Franklin,Cat,Domestic Shorthair,Unknown,4.93
2017,LN85135,Cortado,Cat,Siamese,Mix,3.86
2018,LN351016,Blaze,Cat,Domestic Shorthair,Unknown,4.72
2018,LN8001282,Sassy,Cat,Domestic Longhair,Mix,4.92
2018,LN8002526,Leia,Cat,Siberian,Mix,3.45
2018,LN431030,Ming,Cat,Domestic Shorthair,Unknown,4.59
2017,LN586637,Wiley,Cat,Domestic Shorthair,Unknown,4.43
2018,LNS122246,Jynx,Cat,Domestic Longhair,Mix,4.38
2018,LN8002705,Ooma,Dog,"Poodle, Standard",Unknown,26.83
2018,LNS143155,Henry,Dog,"Retriever, Labrador",Unknown,31.1
2018,LNS113053,Kita,Dog,"Chihuahua, Short Coat",Unknown,19.34
2018,LN8003592,Torta,Dog,Dutch Shepherd,Mix,8.43
2018,LNS109251,Tasi,Dog,"Retriever, Labrador",Mix,11.89
2018,LNS149106,Berlin,Dog,"Bulldog, English",Unknown,16.61
2017,LNS135226,Lucas,Dog,"Terrier, Border",Mix,31.68
2018,LN8002478,Kevin Hart,Dog,"Dachshund, Standard Long Haired",Unknown,15.4
2018,LNS120319,Darby,Dog,American Eskimo,Unknown,31.17
2018,LNS144759,Tyson,Dog,Portuguese Water Dog,Unknown,20.66
2017,LN80918,Chloe,Dog,"Schnauzer, Miniature",Unknown,27.13
2018,LNS147525,Toby,Dog,"Retriever, Golden","Poodle, Miniature",18.82
2018,LNS134992,Ari,Dog,"Vizsla, Smooth Haired",Unknown,30.93
2018,LN138098,Coconut,Dog,American Eskimo,Unknown,20.54
2018,LNS141118,Lili Marleen,Dog,"Retriever, Labrador",Unknown,21.46
2018,LNS121810,Hoot,Dog,Australian Cattle Dog,Unknown,34.58
2018,LNS136105,Hobbes,Dog,"Retriever, Golden",Unknown,17.02
2018,LN8001587,Leia,Dog,Australian Shepherd,Unknown,25.11
2018,LNS128030,Blu,Dog,"Terrier, American Staffordshire",Unknown,23.48
2017,LNS136972,Eustice,Dog,"Chihuahua, Short Coat","Dachshund, Miniature Smooth Haired",16.38
2018,LNS125834,Gaston,Dog,"Bulldog, French",Unknown,6.68
2017,LNS131178,Tashi,Dog,"Retriever, Labrador","Poodle, Miniature",10.1
2018,LNS130316,Emma Ganin,Dog,Weimaraner,Unknown,20.45
2018,LN212098,PJ,Dog,"Retriever, Labrador",Mix,20.18
2017,LNS135661,Kiddo,Dog,"Retriever, Golden",Unknown,32.11
2018,LN8000582,Rocky,Dog,Boxer,Mix,20.78
2018,LN8003864,Zoey,Dog,"Retriever, Golden","Poodle, Standard",20.54
2018,LNS135304,Lucy,Dog,"Retriever, Golden","Poodle, Standard",31.15
2017,LNS118664,Bosco,Dog,"Poodle, Standard","Retriever, Golden",18.98
2018,LN8000889,Hoku,Dog,"Terrier, Airedale",Mix,15.05
2018,LNS129647,Gigi,Dog,"Retriever, Golden","Poodle, Miniature",21.84
2016,LNS125989,Charlie,Dog,"Terrier, Cairn",Mix,21.91
2018,LNS124172,Haru,Dog,American Eskimo,Mix,19.75
2018,LN138642,Kate,Dog,"Spaniel, English Springer",Border Collie,26.02
2017,LN139632,Beemo,Dog,Australian Shepherd,Unknown,26.8
2018,LN898799,Beckett,Dog,"Poodle, Miniature",Unknown,17.85
2017,LN436868,Chumba Bear,Dog,Shih Tzu,Unknown,28.42
2018,LNS106023,Oliver,Dog,Shih Tzu,Papillon,24.96
2017,LNS130922,Tato,Dog,Spaniel,Unknown,22.39
2017,LNS103628,Doctor Evil,Cat,Sphynx,Unknown,4.09
2017,LN832944,Maeby,Cat,Domestic Medium Hair,Unknown,4.43
2018,LNS140877,Chula,Cat,Domestic Shorthair,Mix,4.53
2018,LN434564,Roxie,Cat,Domestic Longhair,Siamese,4.55
2017,LN29145,Ugnaught,Cat,Domestic Shorthair,Unknown,4.55
2017,LNS103715,Rocket,Cat,Domestic Shorthair,Mix,4.7
2018,LNS140777,Bella,Cat,Domestic Medium Hair,Unknown,4.38
2017,LN133602,Dita,Cat,Domestic Medium Hair,Unknown,3.98
2017,LNS134670,Ash,Cat,Domestic Shorthair,Mix,4.16
2018,LNS142571,Cronut,Cat,Domestic Shorthair,Mix,4.86
2018,LNS123704,Ollie,Cat,Domestic Shorthair,Unknown,4.53
2018,LNS149214,Cider,Cat,Domestic Shorthair,Mix,4.62
2017,LNS128375,Tommy T,Cat,Domestic Shorthair,Mix,4.17
2016,LN15183,Pindar,Cat,Siamese,Mix,4.78
2017,LN732097,Callie,Cat,Russian Blue,Mix,4.27
2017,LNS127187,Carson,Cat,Domestic Medium Hair,Mix,4.33
2018,LNS143695,Tofu,Cat,Domestic Longhair,Mix,4.58
2018,LNS131780,Rasa,Cat,Ragdoll,Unknown,4.91
2018,LNS120280,B&W,Cat,Domestic Shorthair,Mix,4.76
2018,LNS146537,Sneezy,Cat,Domestic Shorthair,Mix,4.75
2018,LNS147010,Bentley,Cat,Domestic Medium Hair,Maine Coon,4.1
2018,LN716305,Cowboy,Cat,Domestic Shorthair,Unknown,4.48
2017,LNS138266,Crater,Dog,Beagle,Mix,25.63
2018,LNS138649,BusterBear,Dog,"Retriever, Labrador",Unknown,25.87
2018,LN8000107,Baxter,Dog,"Terrier, Rat",Unknown,25.33
2017,LN900896,Oliver,Dog,"Retriever, Labrador",Border Collie,7.56
2018,LN835204,Madison,Dog,Havanese,Unknown,28.87
2018,LNS114684,Tinkerbelle,Dog,Australian Shepherd,Mix,23.3
2018,LNS143316,Arlo,Dog,"Retriever, Labrador",Unknown,21.81
2017,LN137583,Sadie,Dog,"Retriever, Labrador",Unknown,11.88
2017,LNS132012,Tazman,Dog,"Retriever, Labrador",Unknown,7.82
2018,LNS111756,Pepper Potts,Dog,"Terrier, Pit Bull",Mix,18.14
2018,LN349247,Hana,Dog,"Retriever, Labrador",Unknown,11.51
2018,LNS145127,Edgar,Dog,"Retriever, Labrador",Unknown,9.47
2017,LN444408,Gabi,Dog,"Retriever, Golden",Unknown,12.91
2017,LN84172,Teddy,Dog,"Retriever, Labrador","Poodle, Standard",7.14
2017,LN831830,Lucky,Dog,"Retriever, Labrador",Unknown,8.46
2018,LN8000239,Pablo Lowery,Dog,Australian Shepherd,Unknown,16.67
2018,LN8002379,Luna,Dog,Siberian Husky,Mix,12.51
2017,LNS107842,Lucky,Dog,Xoloitzcuintli,Mix,25.43
2017,LN141248,Buster,Dog,"Poodle, Miniature","Spaniel, American Cocker",15.52
2018,LN78157,Franny,Dog,Kooikerhondje,Unknown,16.4
2017,LN84608,Shaka,Dog,"Terrier, Welsh",Unknown,29.18
2018,LN80008,Frank,Dog,Terrier,Mix,8.45
2018,LNS136964,Ri,Dog,"Terrier, Airedale",Alaskan Husky,12.7
2018,LNS142073,Annie,Dog,"Retriever, Labrador",Unknown,19.11
2018,LNS116788,Jake,Dog,"Terrier, American Pit Bull",Hound,24.69
2018,LN8003269,Jones,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",Mix,17.77
2017,LNS126893,Rory,Dog,"Retriever, Labrador",Mix,20.02
2017,LNS102538,Hailey,Dog,"Retriever, Labrador",Unknown,26.88
2017,LN211075,Pippin,Dog,"Retriever, Labrador","Poodle, Standard",21.8
2017,LN585071,Lulabelle,Dog,Pointer,Unknown,23.3
2018,LN584796,June Bug,Dog,"Retriever, Labrador","Poodle, Standard",14.57
2018,LNS134031,Bishop,Dog,Mix,Unknown,20.19
2017,LNS128088,Kylie,Dog,Siberian Husky,Mix,18.46
2017,LN435837,Cindy Lou,Dog,"Retriever, Labrador",Unknown,24.75
2018,LN141142,Maisie,Dog,Siberian Husky,Alaskan Malamute,14.19
2018,LN206544,Raven,Dog,Terrier,Mix,18.09
2018,LN731510,Kafi,Dog,"Retriever, Golden",Unknown,29.09
2018,LNS135255,Chloe,Dog,"Poodle, Standard",Unknown,10.37
2015,LN585641,Trout,Dog,"Terrier, Yorkshire","Chihuahua, Short Coat",21.53
2017,LN579562,Campbell,Dog,"Retriever, Golden",Unknown,17.3
2018,LNS142284,Mustafa,Cat,Domestic Shorthair,Mix,4.65
2018,LN428266,Eliza,Cat,Domestic Shorthair,Unknown,4.46
2018,LNS118997,Nova,Cat,Domestic Shorthair,Mix,4.47
2018,LNS142415,Sophie,Cat,Domestic Medium Hair,Unknown,4.58
2017,LNS136540,Leeloo,Cat,Domestic Shorthair,Mix,4.86
2018,LN8002037,Sebben,Cat,Domestic Medium Hair,Mix,4.41
2018,LNS141592,Georgie,Cat,Domestic Longhair,Mix,4.44
2018,LN8002040,Marley,Cat,Domestic Shorthair,Mix,4.44
2018,LNS134539,Garfield,Cat,Domestic Shorthair,Mix,4.51
2018,LNS134461,OJ,Cat,Domestic Shorthair,Mix,4.38
2018,LN204738,Hunter,Cat,Pixie-Bob,Unknown,5.05
2017,LN430537,Skeletor,Cat,Domestic Shorthair,Unknown,4.1
2018,LN964240,Griffey,Cat,Domestic Shorthair,Unknown,4.61
2017,LNS104264,Posey,Cat,Domestic Shorthair,Mix,4.15
2017,LN433410,Himhe,Cat,Domestic Shorthair,Unknown,4.12
2018,LNS101685,Juno,Cat,Domestic Longhair,Mix,4.21
2018,LN833257,Badger,Cat,Domestic Medium Hair,Unknown,4.38
2018,LN733011,Misha,Cat,Russian Blue,Domestic Medium Hair,4.85
2017,LNS127772,Sampson (Prince Charming),Cat,Domestic Shorthair,Mix,4.14
2018,LN68092,Emma,Cat,Domestic Shorthair,Unknown,4.32
2018,LN732275,Inky,Cat,Domestic Shorthair,Unknown,3.83
2016,LN953254,Benny,Cat,Domestic Shorthair,Unknown,4.34
2018,LNS146501,Mack (Frankie),Cat,Domestic Shorthair,Mix,4.6
2017,LN351208,Tommy,Cat,Domestic Shorthair,Unknown,4.58
2016,LN962338,Josie,Cat,Domestic Shorthair,Unknown,4.37
2017,LNS136324,Theadora,Cat,Tonkinese,Siamese,4.44
2018,LNS116352,Sucha,Cat,Domestic Shorthair,Mix,4.68
2017,LN284885,Sophie,Cat,Domestic Shorthair,Unknown,4.82
2018,LNS125565,Atari,Cat,Domestic Medium Hair,Ragdoll,4.42
2018,LN892002,Jellie,Cat,Russian Blue,Unknown,4.9
2018,LN74399,Tiger,Cat,Domestic Shorthair,Unknown,4.15
2018,LNS140267,Balam,Dog,"Terrier, American Pit Bull",Mix,20.2
2018,LN26352,Frankie,Dog,Boxer,Unknown,23.39
2018,LN139672,Coco Rose,Dog,"Chihuahua, Short Coat",Unknown,15.08
2018,LNS143784,Otto,Dog,Australian Shepherd,Unknown,30.09
2018,LNS141672,Luna,Dog,"Vizsla, Smooth Haired",Unknown,25
2017,LNS108114,Tripp,Dog,Belgian Malinois,"Terrier, Fox, Smooth",20.45
2018,LNS134843,Harvey,Dog,American Blue Heeler,Australian Shepherd,21.56
2017,LN580847,Jasper,Dog,Australian Shepherd,Mix,22.26
2017,LN951162,Pesto,Dog,Bichon Frise,Unknown,26.12
2018,LNS145387,Maddie,Dog,"Terrier, Yorkshire","Poodle, Toy",19.05
2018,LN84405,No Show,Dog,Dalmatian,"Terrier, American Pit Bull",22.01
2017,LN64346,Sara,Dog,Chow Chow,Unknown,7.42
2018,LN8001357,Baie,Dog,"Retriever, Labrador",Mix,17.47
2018,LNS143992,Cedra,Dog,"Poodle, Standard",Unknown,14.02
2017,LN580774,Kona,Dog,"Retriever, Labrador",Border Collie,8.44
2018,LNS121687,Mazie,Dog,"Retriever, Labrador",Unknown,20.3
2018,LNS147294,Lun,Dog,"Terrier, Jack Russell","Chihuahua, Long Coat",9.33
2017,LN29777,Simba,Dog,"Retriever, Labrador",Unknown,28.73
2018,LNS127767,Coconut,Dog,"Terrier, Yorkshire","Poodle, Miniature",25.58
2017,LN139452,Daisy,Dog,"Chihuahua, Short Coat",Miniature Pinscher,12.67
2016,LNS125044,Gabby,Dog,"Retriever, Labrador",Unknown,15.83
2018,LN904872,Poppy,Dog,"Retriever, Golden","Poodle, Standard",29.32
2018,LNS130430,Dobby,Dog,Terrier,Unknown,11.51
2018,LN141131,Addie,Dog,"Spaniel, English Springer",Unknown,13.52
2018,LNS137807,Chauncey,Dog,"Retriever, Golden",Unknown,20.01
2018,LN432886,Butters,Dog,"Retriever, Golden","Poodle, Miniature",29
2017,LNS137275,Molly,Dog,"Poodle, Miniature",Unknown,16.78
2018,LN359251,Sophocles,Dog,German Shepherd,Unknown,17.72
2018,LN576065,Rocky,Dog,"Terrier, American Pit Bull",Unknown,15.12
2017,LNS131032,Bella,Dog,Boxer,Unknown,17.62
2018,LNS133558,Ruger,Dog,German Shepherd,Siberian Husky,13.4
2018,LNS140793,Bowser,Dog,German Shepherd,Mix,13.15
2018,LNS143502,Solo,Dog,Retriever,Unknown,21.33
2018,LN358160,Betty,Dog,Greyhound,Unknown,27.66
2018,LNS132369,Oliver,Dog,Pomeranian,"Poodle, Miniature",24.19
2018,LNS146076,Stuart,Dog,"Schnauzer, Miniature",Unknown,22.22
2017,LN81345,Oscar,Dog,"Schnauzer, Standard","Terrier, Jack Russell",21.52
2018,LN904638,Dexter,Dog,"Terrier, Manchester",Unknown,27.78
2018,LN585535,Mr.Big,Dog,"Chihuahua, Short Coat","Poodle, Miniature",21.78
2018,LNS144673,Sofie,Dog,"Retriever, Labrador",Unknown,24.12
2017,LN831007,Fred,Dog,"Spaniel, English Springer",Unknown,13.78
2018,LN8001915,Lucy,Dog,"Welsh Corgi, Cardigan",Unknown,10.59
2018,LN729264,Tater,Dog,"Chihuahua, Short Coat",Miniature Pinscher,17.48
2018,LN903527,Ace,Dog,Xoloitzcuintli,Unknown,22.83
2018,LN26004,Remy,Dog,Havanese,Unknown,11.27
2018,LN76506,Stormy,Dog,"Retriever, Labrador",German Shepherd,22.05
2018,LN281496,Dennis Bergkamp,Dog,German Shepherd,Unknown,12.18
2018,LNS141921,Harriet,Dog,"Retriever, Labrador",Unknown,15.97
2017,LN830795,Tucker,Dog,"Retriever, Labrador",Border Collie,18.05
2018,LN902328,Hook,Dog,"Retriever, Labrador",Border Collie,19.03
2016,LNS119565,Coco,Dog,Shepherd,Mix,24.18
2018,LNS145996,Bella,Dog,"Poodle, Miniature","Chihuahua, Short Coat",24.89
2018,LN276475,Tara,Dog,"Retriever, Chesapeake Bay",Unknown,22.35
2017,LNS101228,Azi,Dog,Portuguese Water Dog,Mix,30.69
2018,LN8001029,Gustav,Dog,Shih Tzu,"Schnauzer, Miniature",16.13
2018,LNS137363,Waffles,Dog,Miniature Pinscher,Unknown,16.84
2018,LNS127354,Umi,Dog,"Spaniel, American Cocker","Poodle, Miniature",25.17
2018,LNS127962,Stella,Dog,"Retriever, Labrador",Mix,25.2
2017,LNS131285,Rosie,Dog,"Chihuahua, Short Coat",Miniature Pinscher,15.95
2018,LNS111552,Maizie,Dog,"Retriever, Labrador",Unknown,18.06
2018,LNS119358,Kali,Dog,Australian Cattle Dog,Unknown,20.36
2018,LNS139875,Kai,Dog,Retriever,Unknown,16.91
2018,LN134402,Arlo,Dog,"Terrier, Jack Russell",Italian Greyhound,16.14
2018,LNS124530,Frankie,Dog,Bearded Collie,Unknown,24.85
2018,LN8001399,Asher,Dog,"Mixed Breed, Small (under 24 lbs fully grown)","Retriever, Labrador",21.65
2016,LN207943,Bandit,Dog,"Spaniel, Cavalier King Charles","Poodle, Miniature",18.64
2018,LN443123,Hugo,Dog,"Retriever, Labrador",Unknown,13.69
2018,LN440988,Pepper,Dog,"Retriever, Labrador","Poodle, Standard",28.1
2018,LN138768,Mabel,Dog,Rottweiler,Mix,19.79
2018,LN572070,Carmela,Dog,"Terrier, Yorkshire",Unknown,21.79
2018,LNS144467,Susi,Dog,Terrier,Unknown,10.71
2018,LN358863,Bruce,Dog,Great Pyrenees,Unknown,23.93
2017,LN585478,Huckle Bear,Dog,Chow Chow,Unknown,14.82
2018,LNS141623,Mabel Grace,Dog,Newfoundland,"Poodle, Standard",9.67
